Name,Date,Location,Type,Region,Latitude,Longitude,Weather Forecast
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6504529,-122.3499861,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 52, with temperatures rising to around 54 overnight. South wind around 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.6238307,-122.318368,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 51, with temperatures rising to around 53 overnight. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,47.6394805,-122.3607453,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 52, with temperatures rising to around 54 overnight. South wind around 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Genre Box,Now through 1/28/2024,Market Theatre,Theatre,Downtown,47.5989361,-122.3279543,"Rain before 10pm, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,47.5989361,-122.3279543,"Rain before 10pm, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Alice in Shadowland,Now through 1/28/2024,12th Avenue Arts,Theatre,Capitol Hill / Central District,47.6238307,-122.318368,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 51, with temperatures rising to around 53 overnight. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,47.5989361,-122.3279543,"Rain before 10pm, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Tacoma Home + Garden Show,Now through 1/28/2024,Tacoma Dome,Festivals & Special Events,South,47.6191101,-122.33653138239433,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 51, with temperatures rising to around 53 overnight. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6594631,-122.3343417,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 51, with temperatures rising to around 53 overnight. South wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6504529,-122.3499861,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 52, with temperatures rising to around 54 overnight. South wind around 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.6238307,-122.318368,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 51, with temperatures rising to around 53 overnight. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,47.6394805,-122.3607453,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 52, with temperatures rising to around 54 overnight. South wind around 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Genre Box,Now through 1/28/2024,Market Theatre,Theatre,Downtown,47.5989361,-122.3279543,"Rain before 10pm, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,47.5989361,-122.3279543,"Rain before 10pm, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Alice in Shadowland,Now through 1/28/2024,12th Avenue Arts,Theatre,Capitol Hill / Central District,47.6238307,-122.318368,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 51, with temperatures rising to around 53 overnight. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,47.5989361,-122.3279543,"Rain before 10pm, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Tacoma Home + Garden Show,Now through 1/28/2024,Tacoma Dome,Festivals & Special Events,South,47.6191101,-122.33653138239433,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 51, with temperatures rising to around 53 overnight. South wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6594631,-122.3343417,"Rain before 10pm, then rain and patchy fog. Cloudy. Low around 51, with temperatures rising to around 53 overnight. South wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
